
debug, ens1, mean cosine similarty,0.25795
debug, ens1, mean cosine similarty,0.44022
debug, ens1, mean cosine similarty,0.28477
optmask_pict_eps40_steps20_ens1_model1, ens1, mean cosine similarty,0.72836
optmask_pict_eps40_steps20_ens1_model0, ens1, mean cosine similarty,0.73061
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.47302
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.46631
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.47035
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.47103
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.48634
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.47183
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.38411
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.49238
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.4841
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.13701
optmask_pict_eps40_steps20_ens4_model, ens1, mean cosine similarty,0.43329
optmask_pict_eps40_steps20_ens2_model17, ens1, mean cosine similarty,0.51165
optmask_pict_eps40_steps20_ens2_model18, ens1, mean cosine similarty,0.50996
optmask_pict_eps40_steps20_ens2_model08, ens1, mean cosine similarty,0.51009
optmask_pict_eps40_steps20_ens2_model07, ens1, mean cosine similarty,0.51265
optmask_pict_eps40_steps20_ens3_model018, ens1, mean cosine similarty,0.50981
optmask_pict_eps40_steps20_ens3_model178, ens1, mean cosine similarty,0.47937
optmask_pict_eps40_steps20_ens2_model78, ens1, mean cosine similarty,0.48003
optmask_pict_eps40_steps20_ens3_model017, ens1, mean cosine similarty,0.51241
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.9744
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.98306
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.96908
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.98543
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.96083
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.97382
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.97794
optmask_pict_catfeat_eps40_steps20_ens2_model01, ens1, mean cosine similarty,0.12126
optmask_pict_catfeat_eps40_steps20_ens4_model0178, ens1, mean cosine similarty,0.6225
optmask_pict_catfeat_eps40_steps20_ens10_all, ens1, mean cosine similarty,0.81794
optmask_dem_v2_eps40_steps20_bound6_n15_ens1, ens1, mean cosine similarty,0.58625
optmask_dem_v2_eps40_steps20_bound6_n25_ens1, ens1, mean cosine similarty,0.60774
optmask_dem_v2_eps40_steps20_bound5_n20_ens1, ens1, mean cosine similarty,0.60755
optmask_dem_v2_eps40_steps20_bound5_n15_ens1, ens1, mean cosine similarty,0.59594
optmask_dem_v2_eps40_steps20_bound5_n25_ens1, ens1, mean cosine similarty,0.61711
optmask_dem_v2_eps40_steps20_bound7_n15_ens1, ens1, mean cosine similarty,0.57856
optmask_dem_v2_eps40_steps20_bound6_n20_ens1, ens1, mean cosine similarty,0.59813
optmask_dem_v2_eps40_steps20_bound7_n20_ens1, ens1, mean cosine similarty,0.5911
optmask_dem_v2_eps40_steps20_bound7_n25_ens1, ens1, mean cosine similarty,0.60058
optmask_dem_v2_eps16_steps5_bound7_n25_ens1, ens1, mean cosine similarty,0.47019
optmask_dem_v2_eps16_steps5_bound7_n25_ens1, ens1, mean cosine similarty,0.0426
optmask_dem_v2_eps20_steps10_bound7_n25_ens1, ens1, mean cosine similarty,0.51299
optmask_dem_v2_eps20_steps10_bound7_n25_ens1, ens1, mean cosine similarty,0
optmask_dem_v2_eps20_steps10_bound7_n25_ens1, ens1, mean cosine similarty,0
optmask_dem_v2_eps16_steps10_bound7_n25_ens1, ens1, mean cosine similarty,0.4187
optmask_dem_v2_eps20_steps10_bound7_n25_ens1, ens1, mean cosine similarty,0
optmask_dem_v2_eps40_steps5_bound7_n20_ens1, ens1, mean cosine similarty,0.54269
optmask_dem_v2_eps40_steps5_bound7_n20_ens1, ens1, mean cosine similarty,0.41215
optmask_dem_v2_eps40_steps5_bound7_n20_ens1, ens1, mean cosine similarty,0.42559
optmask_dem_v2_eps40_steps20_bound7_n20_ens1, ens1, mean cosine similarty,0.57135
optmask_dem_v2_eps40_steps20_bound7_n20_ens1, ens1, mean cosine similarty,0.39791
optmask_dem_v2_eps40_steps20_bound7_n20_ens1, ens1, mean cosine similarty,0.22303
optmask_dem_v2_eps40_steps20_bound7_n20_ens1, ens1, mean cosine similarty,0.00383
